abandonar,'f. Ámbito más allá de la muerte'
repartir,'adj. Dicho de un color Semejante al del cielo sin nubes y el mar en un día soleado y que ocupa el quinto lugar en el espectro luminoso U. t. c. s. m.'
repercutir,'m. Bóvido que habita en las altas montañas del notable por las largas lanas que le cubren las patas y la parte inferior del cuerpo En estado salvaje es de color oscuro pero entre los domésticos abundan los blancos'
repetir,'tr. Manifestar a alguien la satisfacción que se experimenta con motivo de algún suceso fausto para él U. t. c. prnl.'
reportar,'adj. Dicho de una persona Afable inclinada a la amistad'
representar,'f. Conjunto de músicos que interpretan obras musicales con diversos instrumentos y bajo la guía de un director'
reprochable,'adv. relat. En el que en el cual o en que U. con antecedente referido a lugares'
reptil,'f. Obra o trabajo'
repugnante,'tr. Mover violentamente algo a una y otra parte U. t. c. prnl.'
resaltar,'m. Astron. Ocultación transitoria total o parcial de un astro por interposición de otro cuerpo celeste'
resarcir,'tr. Poner en funcionamiento un mecanismo o parte de él dar movimiento'
resbalar,'tr. Entregar algo a alguien para que lo utilice durante algún tiempo y después lo restituya o devuelva'
reservar,'f. Cualidad de omnipotente'
resistente,'f. Medida de longitud equivalente a m.'
resolver,"'adj. Partidario del yihadismo Apl. a pers., u. t. c. s.'"
respirar,'f. Tocado beduino masculino formado por un paño cuadrado doblado en forma de triángulo y a veces sujeto por una banda o aro'
resplandeciente,'f. Medida de superficie equivalente a áreas Símb.'
responsable,'m. Instrumento musical de cuerda tocado con arco más grande que la viola y más pequeño que el contrabajo y con un registro intermedio entre ambos El intérprete que está sentado lo coloca entre sus piernas para tocarlo'
restablecer,'f. Acción de leer'
restar,'f. Desavenencia y rompimiento de la paz entre dos o más potencias'
restaurante,'adj. Delgado delicado tenue'
restringir,'adj. contrario que se muestra completamente diferente'
resumen,'f. Acción y efecto de evaluar'
retrato,'m. Terreno comprendido dentro de un perímetro cualquiera'
reunión,'f. Cualidad de veraz'
revisar,'m. güisqui.'
revolución,'intr. desus. Dicho de varias voces o instrumentos Sonar al unísono o en el mismo tono'
rezar,'adj. Integrante de la fundada en por san en U. t. c. s. m.'
reír,'adj. Digno de memoria'
rigidez,'tr. Poner el pie sobre algo'
riqueza,'m. Impresión que los efluvios producen en el olfato'
robar,'f. Conjunto de útiles'
robot,'f. Estado de agitación inquietud o zozobra del ánimo'
rocío,'intr. despect. Gemir con insistencia y con poca fuerza por causa leve'
rodear,'m. País o sitio que está de la otra parte del mar considerado desde el punto en que se habla'
romper,'m. Pliegue cutáneo retráctil que protege el globo ocular'
ropa,'tr. Mandar con autoridad o regir algo U. t. c. intr.'
rueda,'adj. De temperatura muy fría U. t. en sent. fig.'
ruido,'tr. Hacer molduras en algo'
rural,"'intr. Dicho de un ser vivo Absorber el aire por pulmones branquias tráquea etc., tomando parte de las sustancias que lo componen y expelerlo modificado U. t. c. tr.'"
ruta,'m. Planta anual de la familia de las crucíferas de a cm de altura con hojas glaucas rugosas lampiñas grandes partidas en tres lóbulos oblongos las radicales y enteras lanceoladas y algo envainadoras las superiores flores en espiga terminal pequeñas y amarillas fruto seco en vainillas cilíndricas con o semillas y raíz carnosa comestible ahusada blanca o amarillenta'
sabotear,'f. Acción y efecto de prevenir'
sacar,"'m. Arg., Par.  Plantación de yerba mate'"
saciar,'adj. artesano perteneciente a la artesanía'
sacrificar,'f. Fruto del frambueso semejante a la zarzamora algo velloso de olor fragante y suave y sabor agridulce muy agradable'
sacudir,'tr. Ser superior a alguien'
sagaz,'tr. Producir una fusión U. t. c. prnl.'
salir,"'m. Arg., Bol., Chile, Ec., Par., Perú  caimán reptil'"
saliva,'f. Abundancia de bienes y cosas preciosas'
salsa,'m. Establecimiento público donde se sirven comidas y bebidas mediante precio para ser consumidas en el mismo local'
saltar,'f. Arte de proyectar y construir edificios'
saludable,'m. y f. Persona que tiene por oficio quitar las manchas de las ropas'
salvaje,'tr. Agregar incorporar algo a otra cosa'
salvar,'adj. Que no se puede dispensar'
sanar,'f. Acción de germinar'
sanción,'tr. Fijar encerrar en límites determinados U. t. c. prnl.'
sangre,'adj. Que puede ser herido o recibir lesión física o moralmente'
saqueo,'m. Marcha rápida de una caballería más veloz que el trote que consiste en avanzar saltando y manteniendo en algún momento las cuatro patas en el aire'
satisfacer,'f. En la mitología clásica monstruo imaginario que vomitaba llamas y tenía cabeza de león vientre de cabra y cola de dragón'
saxofón,'f. Forma exterior de alguien o de algo'
sed,'tr. Burlar al toro esquivando sus acometidas según las reglas de la tauromaquia hasta darle muerte U. t. c. prnl.'
seguir,'f. Rota o derrota de un viaje'
seleccionar,'m. Aparato eléctrico de señales luminosas para regular la circulación'
sello,'f. Fenómeno patológico que se manifiesta por elevación de la temperatura normal del cuerpo y mayor frecuencia del pulso y la respiración U. t. en pl. para designar ciertas enfermedades infecciosas que cursan con aumento de temperatura'
selva,'f. Cosa hecha o producida por un agente'
semana,'m. Extracto de la adormidera que contiene diversos alcaloides como la morfina la codeína y la papaverina muy adictivo y con propiedades analgésicas narcóticas y astringentes'
semilla,'f. Ropa interior femenina'
semáforo,'m. Movimiento del ánimo que suscita ira contra alguien'
sensible,'m. Acción y efecto de enfrentar'
sentar,'f. Edificio para habitar'
separar,'f. Manantial de agua que brota de la tierra'
seriedad,'f. Estado de grata satisfacción espiritual y física'
servidumbre,'tr. Aplicar y extender superficialmente aceite u otra materia pingüe sobre algo'
señal,'f. Antílope del tamaño de una cabra grande con astas lisas y rectas terminadas a manera de anzuelo y capa oscura que vive en los y los'
significar,'adj. Dicho del patrimonio o de la hacienda Que se puede mover'
silla,'m. Esfera aparente azul y diáfana que rodea la Tierra'
silvestre,'f. Anat. En los humanos y en otros animales conducto por donde se expulsa la orina desde la vejiga al exterior'
simple,'f. Acción y efecto de vejar'
simular,'tr. Aclamar tributar una ovación'
sincronizar,'m. Impedimento dificultad obstáculo'
sintetizar,'m. Despeñadero por cuya proximidad no se puede andar sin riesgo de caer'
sirena,'f. Ninfa marina con busto de mujer y cuerpo de ave según la tradición grecolatina y con cuerpo de pez en otras tradiciones que extraviaba a los navegantes atrayéndolos con la dulzura de su canto U. t. en sent. fig.'
sistema,'f. Acción y efecto de unificar'
situar,'tr. Probar reconocer algo antes de usarlo'
sobrevivir,'m. y f. Profesor de moral'
sociable,'tr. Percibir con el oído los sonidos'
sofocante,'tr. Resguardar a una persona animal o cosa de un perjuicio o peligro poniéndole algo encima rodeándolo etc. U. t. c. prnl.'
solicitud,'m. Dep. Juego practicado en una piscina entre dos equipos de siete jugadores cada uno que consiste en introducir el balón con la mano en la portería contraria mientras se nada'
soltar,'adj. Perteneciente o relativo a los virus'
solucionar,'m. Jugo azucarado producido por los nectarios que chupan las abejas y otros insectos'
sombrero,'m. Acción y efecto de remolcar'
someter,'m. jaguar.'
sonido,'m. Movimiento poético síntesis de las vanguardias surgido en y que durante varios años agrupó a algunos artistas españoles e hispanoamericanos'
sonriente,'m. Mamífero rumiante africano de la familia de los antílopes de color pardo grisáceo cuya cabeza recuerda la de un toro'
soplar,'adj. Que llega a un lugar o que parte de él a la hora convenida'
soportar,'adj. Dicho de una persona Que practica el nudismo U. t. c. s.'
sorprender,'f. Gallardía garbo y bizarría'
sorteo,'tr. Derramar o vaciar líquidos y también cosas menudas como sal harina etc. U. t. c. prnl.'
sospechar,'f. Lesión de los tejidos orgánicos que cicatriza con dificultad'
sostener,'m. Hueso que forma el esqueleto del muslo que se articula por arriba con el hueso ilíaco y por abajo con la tibia y la rótula'
soñador,'f. Plan proyecto doctrina o sistema ideales que parecen de muy difícil realización'
suave,'f. Electrodoméstico para hacer yogur'
subir,'m. Labrador que utiliza una pareja de animales o yunta'
sublime,'m. Sonido cuya frecuencia de vibraciones es superior al límite perceptible por el oído humano Tiene muchas aplicaciones industriales y se emplea en medicina'
subrayar,'adj. Perteneciente o relativo al fenómeno'
subsistir,'f. Acción y efecto de ocupar u ocuparse'
suceder,'f. Embarcación muy ligera movida a remo y con vela'
sudar,'m. Líquido de las hierbas flores frutas u otras cosas semejantes que se saca exprimiéndolas o majándolas'
sufrir,'intr. Hacer dejación voluntaria dimisión o apartamiento de algo que se tiene o se puede tener  U. t. c. tr.'
sugerir,'intr. Dicho de una cosa Permanecer durar o conservarse'
sujetar,'adj. Que excede a algo en cantidad o calidad'
sumar,'m. Medio de transporte que circula sobre raíles compuesto por uno o más vagones arrastrados por una locomotora'
sumergir,'adj. Que presenta obstáculos impedimentos'
superar,'tr. Poner el veto a una proposición acuerdo o medida'
suponer,'adj. Que consta de una sola persona'
suspender,'tr. Escoger algo entre varias cosas U. m. c. intr.'
suspirar,'tr. Dicho de una persona Asegurar que otra cumplirá lo que promete o pagará lo que debe obligándose en caso de que no lo haga a satisfacer por ella'
sustancia,'intr. Dicho de una persona Dar su voto o decir su dictamen en una reunión o cuerpo deliberante o en una elección de personas U. t. c. tr.'
sustituir,'tr. Someter al dominio señorío o disposición de alguien U. t. c. prnl.'
sustraer,'m. Estación del año que astronómicamente comienza en el equinoccio del mismo nombre y termina en el solsticio de invierno'
sutil,'adj. Dicho de una ley de una ordenanza de un estilo o de una costumbre Que está en vigor y observancia'
sábana,'m. Prenda para cubrir la mano que se hace por lo común de piel tela o tejido de punto y tiene una funda para cada dedo'
tabla,'tr. Dar masaje'
tabú,'m. Voz del cerdo'
tapar,'m. Acción y efecto de impulsar'
tararear,'m. Rama de segundo orden o que sale de la rama madre'
tarea,'adj. Común a todos los individuos que constituyen un todo o a muchos objetos aunque sean de naturaleza diferente'
tarifa,"'adj. Dicho de un animal Del grupo de los vertebrados ovíparo u ovovivíparo de temperatura variable y respiración pulmonar que por carecer de patas o por tenerlas muy cortas se desplazan rozando la tierra con el vientre p. ej., la culebra el lagarto o el galápago U. t. c. s. m., en pl. como taxón.'"
tartamudear,'m. Acción y efecto de plagiar copiar obras ajenas'
tatuar,'m. Inmoderado y excesivo amor a sí mismo que hace atender desmedidamente al propio interés sin cuidarse del de los demás'
taza,'intr. Ir andando por distracción o por ejercicio U. t. c. tr. y c. prnl.'
tejer,'m. Planta de tallo leñoso y elevado que se ramifica a cierta altura del suelo'
televisión,'f. Med. pulmonía.'
teléfono,'f. Ciencia del derecho'
temblar,'f. Arte de grabar en madera'
tenaz,'tr. Hacer uniformes dos o más cosas U. t. c. prnl.'
tensión,'intr. Dicho de un cuerpo elástico Botar repetidamente'
terminar,'m. y f. Persona que toca el xilófono'
terremoto,'tr. Manifestar hacer público'
textil,'f. Jolgorio jarana'
texto,'tr. Hacer perder el juicio a alguien U. t. en sent. fig.'
tibia,'f. Acción de poner en libertad'
tiempo,'f. Letra  y sonido que representa'
tierra,'adj. Que guarda a alguien o algo la debida fidelidad U. t. c. s.'
tijera,'tr. Unir una cosa con otra mediante alguna sustancia'
timbre,'f. Recipiente de cristal vidrio plástico u otro material con el cuello estrecho que sirve para contener líquidos'
tirar,'f. Bebida alcohólica hecha con granos germinados de cebada u otros cereales fermentados en agua y aromatizada con lúpulo boj casia etc.'
titilar,'m. Árbol de de la familia de las lauráceas de ocho a diez metros de altura con hojas alternas coriáceas siempre verdes flores dioicas y fruto comestible'
tobillo,'m. coloq. Regocijo fiesta diversión bulliciosa'
tolerante,'m. Órgano compuesto principalmente de fibras contráctiles'
tomar,'adj. Fís. Dicho de una radiación Que se encuentra entre el extremo violeta del espectro visible y los rayos X y provoca reacciones químicas de gran repercusión biológica U. t. c. s. m.'
torcer,'tr. Cortar la continuidad de algo en el lugar o en el tiempo U. t. c. prnl.'
tormenta,'adj. Perteneciente o relativo a muchas naciones'
torpe,'tr. Dar nombre'
torta,'intr. Dar dictamen'
tostar,'intr. Adolecer de languidez'
totalidad,'m. pl. Provisiones de boca de un ejército plaza o buque'
trabajo,'m. Cosa que entra con otras en un remedio una bebida un guisado u otro compuesto U. t. en sent. fig.'
tradicional,'adj. Perteneciente o relativo al Estado'
traducir,'m. Acción y efecto de trabajar'
tragar,'adj. Sumamente atractivo'
tragedia,'adj. Nueve más uno U. t. c. pron. —¿'
traicionar,'f. Acción y efecto de organizar u organizarse'
traje,'m. Instrumento musical de cuerda popularizado desde el archipiélago estadounidense de parecido a la guitarra pero de menor tamaño'
tramar,'m. Acción y efecto de enchufar'
transferir,'tr. Poner a alguien o algo en determinado sitio o situación U. t. c. prnl.'
transformar,'intr. Alejarse deprisa por miedo o por otro motivo de personas animales o cosas para evitar un daño disgusto o molestia U. t. c. prnl. y menos c. tr.'
transmitir,'adj. Que importa'
transparente,'m. Sensación producida en el órgano del oído por el movimiento vibratorio de los cuerpos transmitido por un medio elástico como el aire'
transpirar,'m. Línea que en su desarrollo forma ángulos alternativos entrantes y salientes'
transportar,'adj. Que sueña mucho'
tranvía,'m. Mec. Pieza cilíndrica que se utiliza como pasador o perno para unir dos elementos'
trapecio,'f. Derecho a heredar'
trasladar,'adj. Dicho de un cuerpo Que permite ver los objetos con nitidez a través de él'
trasplantar,'intr. Desplazarse por el agua en un buque o en otra embarcación U. t. c. tr.'
trastornar,'tr. Marcar en el papel o en otra materia las letras y otros caracteres gráficos mediante procedimientos adecuados'
tratar,'intr. Trasladarse de un lugar a otro generalmente distante por cualquier medio de locomoción'
trayectoria,'tr. Quitar o separar algo prescindir de'
trazar,'tr. Herir o hacer daño U. t. c. prnl.'
tren,'adj. Perteneciente o relativo a la primavera'
tribu,'tr. Dar fin a algo acabarlo concluirlo'
trinar,'f. Planta herbácea umbelífera con flores blancas y purpúrea la central de la umbela con fruto seco y comprimido y raíz fusiforme de unos cm de largo amarilla o rojiza jugosa y comestible'
tripular,'adj. Perteneciente o relativo al entierro y a las exequias'
tristeza,'m. Elemento químico metálico de núm. atóm. de color negro o gris acerado refractario mal conductor de la electricidad y de gran resistencia mecánica y a la corrosión no muy abundante en la corteza terrestre donde se encuentra casi siempre en forma de silicato en el circón y que se usa en lámparas de incandescencia y tubos de vacío así como en las industrias cerámica química aeronáutica y nuclear Símb.'
triturar,'m. Prenda para cubrir la cabeza que consta de copa y ala'
triunfar,'tr. Dar estado legal a algo'
tronar,'m. Afirmación o negación de algo poniendo por testigo a Dios o en sí mismo o en sus criaturas'
tropezar,'m. nacionalsocialismo.'
tropical,'adj. Dicho de un tipo de música De carácter juvenil que se puso de moda en la década de'
trotar,'tr. Consentir condescender o conceder algo que se pide o se pregunta'
trueque,'f. Contorsión del rostro generalmente burlesca'
táctil,'m. y f. Jinete profesional de carreras de caballos'
título,'m. Calzado que no pasa del tobillo con la parte inferior de suela y lo demás de piel fieltro paño u otro tejido más o menos escotado por el empeine'
ubicación,'f. Pereza negligencia abandono de sí mismo o de las cosas propias'
ucronía,'tr. Cortar o cercenar una parte del cuerpo y más particularmente del cuerpo viviente U. t. c. prnl.'
ufanarse,'tr. Dar principio a algo'
ufología,'f. cult. Reconstrucción de la historia sobre datos hipotéticos'
ukelele,'f. besamel.'
ulterior,'m. Conjunto de reglas o principios sobre una materia racionalmente enlazados entre sí'
ultimar,'tr. Poner algo a la lumbre para que lentamente se le introduzca el calor y se vaya desecando sin quemarse hasta que tome color U. t. c. prnl.'
ultimátum,'m. coloq. licor bebida espiritosa'
ultraderecha,'m. Piedra fina compuesta de silicato doble de alúmina y de hierro u otros óxidos metálicos Su color varía desde el de los granos de granada al rojo negro verde amarillo violáceo y anaranjado'
ultraizquierda,'adj. Dicho de una persona Que habla el náhuatl y habita en diversas zonas de U. t. c. s.'
ultrajar,'adj. Repetido a menudo'
ultramar,'tr. Ejercitar poner en práctica algo que se ha aprendido y especulado'
ultrasensible,'tr. Probar gustar algo para examinar su sabor o sazón'
ultrasonido,'tr. Unir unas cosas con otras U. t. c. prnl.'
ultratumba,'tr. Dar la preferencia U. t. c. prnl.'
ultravioleta,'m. Rel. En algunas religiones de la energía derivada de los actos de un individuo durante su vida que condiciona cada una de sus sucesivas reencarnaciones hasta que alcanza la perfección'
ultraísmo,'f. Expresión de un dolor físico o de un sentimiento doloroso'
ulular,'f. Distancia vertical de un cuerpo a la superficie de la tierra o a cualquier otra superficie tomada como referencia'
umbilical,'adj. Que no tiene prudencia U. t. c. s.'
umbral,'adj. Bajo o despreciable'
unción,'adj. Que se manifiesta mediante la palabra hablada'
ungir,'f. Acción y efecto de orientar u orientarse'
ungüento,'m. Fil. En la filosofía china especialmente en el taoísmo fuerza pasiva o femenina que en síntesis con el yang constituye el principio del orden universal'
unicelular,'f. Movimiento de una cosa alrededor de un punto o girando sobre sí misma hasta invertir su posición primera o hasta recobrarla de nuevo'
unicidad,'f. Ave similar al cuervo pero más pequeña de plumaje negro y blanco y con una cola más larga que remeda palabras y suele llevarse al nido objetos pequeños sobre todo si son brillantes'
unicornio,'tr. Esconder tapar disfrazar encubrir a la vista U. t. c. prnl.'
unidad,'f. Pieza mecánica en forma de disco que gira alrededor de un eje'
unidimensional,'m. En la Iglesia católica sacerdote encargado en virtud del oficio que tiene del cuidado instrucción y doctrina espiritual de una feligresía'
unidireccional,'f. Conjunto de los habitantes de un país regido por el mismo Gobierno'
unificación,'adj. Perteneciente o relativo al grupo'
uniformar,'tr. Comprobar o examinar la verdad de algo'
uniforme,'f. Conjunto de palabras que constituyen un enunciado'
unilateral,'f. Operación material que se ejecuta con las manos'
unimembre,'intr. Efectuar movimientos de vaivén a la manera de un péndulo o de un cuerpo colgado de un resorte o movido por él'
unipartidismo,'f. Armazón cerrada o no según los casos hecha con barras o listones y destinada a encerrar generalmente animales'
unipersonal,'f. Baya o grano más o menos redondo y jugoso fruto de la vid que forma racimos'
unir,'tr. Cruzar interponer algo en el camino de otra cosa o en una acción U. t. c. prnl.'
unisex,'f. Agua helada que se desprende de las nubes en cristales sumamente pequeños los cuales agrupándose al caer llegan al suelo en copos blancos'
unisonar,'intr. Jugar con algo para entretenerse o pasar el tiempo'
universal,'f. Estado de un cuerpo sometido a la acción de fuerzas opuestas que lo atraen'
universidad,'tr. Rociar un alimento con un licor y prenderle fuego U. t. c. prnl.'
unión,'adj. Perteneciente o relativo a la fiebre'
untar,'tr. Falsear o adulterar algo'
unánime,'m. Órgano de naturaleza muscular común a todos los vertebrados y a muchos invertebrados que actúa como impulsor de la sangre y que en el ser humano está situado en la cavidad torácica'
urbanizar,'adj. Que se mantiene sin peligro de cambiar caer o desaparecer'
urbe,'tr. Med. Cerrar un conducto como el intestino con algo que lo obstruya o una abertura como la de los párpados de modo que no se pueda abrir naturalmente U. t. c. prnl.'
urdimbre,'m. Espacio cubierto situado dentro de una casa que sirve de entrada a ella y está inmediato a la puerta de la calle'
urdir,'f. Reputación fama y honor extraordinarios que resultan de las buenas acciones y grandes cualidades de una persona'
uretra,'m. o f. Capacidad habilidad para hacer algo'
urgencia,'m. Conjunto de aparatos e hilos conductores con los cuales se transmite a distancia la palabra y toda clase de sonidos por la acción de la electricidad'
urgir,'f. Tabla de precios derechos o cuotas tributarias'
urna,'m. Acción y efecto de lograr'
urogallo,'adj. Que habla mucho o demasiado'
urraca,'m. Niño o niña recién nacido o de muy corta edad U. t. c. m. y f.'
urticante,'f. Figura que representa un rostro humano de animal o puramente imaginario con la que una persona puede cubrirse la cara para no ser reconocida tomar el aspecto de otra o practicar ciertas actividades escénicas o rituales'
usina,'intr. Dicho de una persona o de un animal Trasladarse en el agua ayudándose de los movimientos necesarios y sin tocar el suelo ni otro apoyo'
uso,'f. Subvención para realizar estudios o investigaciones'
usual,'m. Entre los musulmanes jefe religioso o político'
usufructuar,'tr. Mirar examinar algo con cuidado y diligencia'
usurpación,'tr. Retirar contrayendo algo especialmente el cuerpo o sus miembros U. t. c. prnl.'
utensilio,'tr. Poner o hacer que se ponga frío algo U. t. c. intr. y c. prnl.'
utilería,'f. Utensilio para alumbrar consistente en un leño resinoso un haz de mechas de esparto u otro objeto semejante que impregnado en alquitrán u otra materia combustible arde por un extremo mientras se puede agarrar con la mano por el otro'
utilizar,'intr. Dicho de un perro Dar latidos'
utopía,'f. Cada uno de los signos gráficos que componen el alfabeto de un idioma'
uva,'tr. Quitar o tomar para sí con violencia o con fuerza lo ajeno'
uña,'f. Supremacía que un Estado ejerce sobre otros'
vacante,'adj. Der. Que se querella U. t. c. s.'
vacilación,'m. Representación geográfica de la Tierra o parte de ella en una superficie plana'
vacunar,'adj. Que se puede leer'
vainilla,'m. Ave gallinácea de unos cm de largo y hasta de envergadura con plumaje pardo negruzco jaspeado de gris patas y pico negros tarsos emplumados y cola redonda que vive en los bosques y en la época del celo da gritos roncos algo semejantes a un mugido'
vaivén,'f. Unidad lingüística dotada generalmente de significado que se separa de las demás mediante pausas potenciales en la pronunciación y blancos en la escritura'
vajilla,'f. Facultad de hablar'
validez,'f. coloq. Diversión bulliciosa y alborotada'
valiente,'f. Conjunto de ganado caballar'
valla,'m. Túnica de origen japonés de mangas anchas y largas abierta por delante y que se ciñe cruzándola mediante un cinturón'
valle,'tr. Sujetar humillar a una persona una tropa o una facción U. t. c. prnl.'
valorar,'f. Instrumento musical de viento parecido a una flauta o chirimía de unos cm de largo'
vals,'f. Máquina simple que consiste esencialmente en una barra rígida que se apoya y puede girar sobre un punto y que sirve para transmitir una fuerza'
vapulear,'tr. Meter debajo del agua con ímpetu o de golpe U. t. c. prnl.'
varar,'f. Serpiente americana de hasta diez metros de longitud con la piel pintada de vistosos dibujos No es venenosa sino que mata a sus presas comprimiéndolas con los anillos de su cuerpo Hay varias especies unas arborícolas y otras de costumbres acuáticas Todas son vivíparas Era u. t. c. m.'
variable,'tr. Adorar ídolos'
varonil,'m. o f. Red informática mundial descentralizada formada por la conexión directa entre computadoras mediante un protocolo especial de comunicación'
vasija,'adj. Que tiene redundancia'
vaticinar,'intr. Dar gritos o alaridos'
vecindario,'f. Finca agrícola'
vedar,'m. Ave rapaz de la que existen varias especies de mediano tamaño y vuelo rápido con cabeza pequeña pico fuerte curvo y dentado en la mandíbula superior plumaje de color variable con la edad y que a veces se adiestra para la caza de aves'
vegetal,'f. Acción y efecto de ganar'
vejación,'f. Prenda de vestir'
vejez,'m. Unidad monetaria de'
veloz,'m. Calzado que llegaba hasta más arriba del tobillo abierto por delante y que se ajustaba por medio de correas o cordones'
vena,'m. Llanura entre montes o alturas'
vencer,'m. Acción de gastar'
vendar,'f. Cada una de las dos mandíbulas de los vertebrados que tienen dientes'
vender,'f. Med. Enfermedad funcional del sistema nervioso caracterizada principalmente por inestabilidad emocional'
veneno,'m. Arte marcial de origen japonés en el que se utiliza una armadura y un sable de bambú'
venerable,'f. Determinación resolución que se toma o se da en una cosa dudosa'
vengar,'tr. Decir que algo no existe no es verdad o no es como alguien cree o afirma'
venir,'tr. Dar vueltas a algo sobre sí mismo de modo que tome forma helicoidal U. t. c. prnl.'
ventaja,'adj. Perteneciente o relativo al machismo'
ventilar,'adj. Común o habitual'
veracidad,'m. Conjunto de fibras nerviosas en forma de cordón blanquecino que conducen impulsos entre el sistema nervioso central y otras partes del cuerpo'
veranear,'f. Cualidad de triste'
verbal,"'m. Arg., Chile, Par., Perú  bistec.'"
verde,'f. Existencia real y efectiva de algo'
verificar,'m. Tabla de cristal azogado por la parte posterior y también de acero u otro material bruñido para que se reflejen en él los objetos que tenga delante'
verosímil,'f. Med. Rama de la medicina que se ocupa del riñón y de sus enfermedades'
versátil,'tr. Pasar o mudar algo de un lugar a otro U. t. c. prnl.'
verter,'tr. Educar mal a los hijos condescendiendo demasiado con sus gustos y caprichos'
vertical,'m. Elemento químico de núm. atóm. perteneciente al grupo de los gases nobles escaso en la Tierra pero muy abundante en el universo y presente en el aire atmosférico que se usa en los tubos fluorescentes Símb.'
vestido,'f. Parte del cuerpo animal dura de naturaleza córnea que nace y crece en las extremidades de los dedos'
vetar,'tr. Escoger o preferir a alguien o algo para un fin'
viajar,'intr. Agitarse con sacudidas de poca amplitud rápidas y frecuentes'
vibrar,'tr. Humillar o herir el amor propio o la dignidad de alguien o ponerlo en evidencia con palabras o con hechos'
vicio,'intr. Levantarse al amanecer o muy temprano'
vicisitud,'m. Establecimiento de hostelería capaz de alojar con comodidad a huéspedes o viajeros'
vida,'intr. Pasar las vacaciones de verano en lugar distinto de aquel en que habitualmente se reside'
vidrio,'tr. Apartar separar extraer'
viga,'f. Cualidad de feo'
vigente,'m. Comida guisada'
vigilar,'m. Reptil saurio de cuerpo comprimido cola prensil y ojos de movimiento independiente Se alimenta de insectos que caza con su lengua larga y pegajosa y posee la facultad de cambiar de color según las condiciones ambientales'
vil,'tr. Ceñir circunscribir reducir a menores límites'
violonchelo,'f. Apéndice sensorial par de la cabeza de los artrópodos'
viral,'f. Paso largo que se da con movimiento acelerado o por tener las piernas largas'
virar,'tr. Cerrar un ojo momentáneamente quedando el otro abierto a veces con disimulo por vía de señal o advertencia'
virtual,'tr. Comunicar o aplicar el virus vacuno a alguien para preservar de las viruelas naturales U. t. c. prnl.'
visceral,'f. Expresión de dolor pena o sentimiento'
visible,'tr. Dar garantía'
visitar,'tr. Evitar rehuir apartar y quitar de en medio obstáculos o inconvenientes'
vislumbrar,'tr. Hacer que dos o más cosas en realidad distintas aparezcan y se consideren como una misma U. m. c. prnl.'
vitorear,'m. impulso.'
vociferar,'tr. Formar en el telar la tela con la trama y la urdimbre'
volar,'tr. Arrojar exhalar o echar hacia fuera algo'
volcar,'m. Med. Sonda que se introduce por cualquier conducto del organismo natural o artificial para explorarlo o dilatarlo o para servir de guía y vehículo a otros instrumentos'
voltear,'m. Víscera voluminosa propia de los animales vertebrados que en los mamíferos tiene forma irregular y color rojo oscuro está situada en la parte anterior y derecha del abdomen y desempeña varias funciones importantes entre ellas la secreción de la bilis'
volver,'tr. Ejecutar sin proceso y tumultuariamente a un sospechoso o a un reo'
vomitar,'adj. Que relaja'
voraz,'adj. Situado de la parte de allá de un sitio o territorio'
votar,'tr. Manifestar mostrar en público U. t. c. prnl.'
vuelo,'f. hambre escasez generalizada de alimentos'
vuelta,'f. Abstención de hacer o decir'
vulnerable,'adj. Dicho de un lugar En el que se ha nacido'
vía,'tr. Moderar o parar con el freno el movimiento de una máquina o de un carruaje'
víctima,'adj. Que se refiere a la palabra o se sirve de ella'
víveres,'tr. Poner forro a algo'
walkman,'adj. Perteneciente o relativo a los cereales.'
waterpolo,"'tr. Poner o colocar a alguien en una silla banco etc., de manera que quede apoyado y descansando sobre las nalgas U. t. c. prnl.'"
watt,'tr. Dicho del oxígeno o de otro agente oxidante Producir óxido al reaccionar con una sustancia U. t. c. prnl.'
web,'f. Cuchillo cuya hoja puede doblarse sobre el mango para que el filo quede guardado entre las dos cachas o en una hendidura a propósito'
whisky,'f. Superioridad o mejoría de alguien o algo respecto de otra persona o cosa'
wifi,"'adj. Dicho de una persona De un pueblo indígena que al tiempo de la colonización del habitaba la región del y por ext., de otros indígenas pertenecientes al Imperio incaico U. t. c. s.'"
windsurf,'adj. Que tiene virtud para producir un efecto aunque no lo produce de presente frecuentemente en oposición a  o'
wéstern,'m. Género teatral japonés que combina actuación declamación y música en el que los papeles femeninos son representados por hombres'
xenofobia,'tr. Aplicar a algo una sustancia que disminuya la fricción entre superficies en contacto'
xerocopia,'m. Todo aquello que sirve para ungir o untar'
xerografía,'intr. Dicho de una persona caminar'
xi,"'m. Pieza arquitectónica en forma de jarro con que se decoran edificios galerías escaleras jardines etc., puesta casi siempre sobre un pedestal y como adorno de remate'"
xilema,'f. Acción y efecto de jubilar o jubilarse'
xilofonista,'tr. Pedir imperiosamente algo a lo que se tiene derecho'
xilografía,'tr. Llevar a alguien o algo de un lugar a otro U. t. c. prnl.'
xilófono,'tr. Ofrecer a una divinidad algo o a alguien en su honor generalmente destruyéndo o matándo'
yacaré,'tr. Producir causar algo'
yacente,'tr. Formar autos y procesos'
yacer,'f. Perturbación atmosférica violenta acompañada de aparato eléctrico y viento fuerte lluvia nieve o granizo'
yacija,'f. Período de la vida humana que precede inmediatamente a la madurez'
yacimiento,'tr. Poner por obra algo'
